Day,Date,Run,Colony,F,N,Rate,Vol,Lane,rawConc,nSperm,EggPos,nEggs,nFert,nPoly,nControlEggs,nControlFert
1,11/04/16,1,1,2,1,Slow,1.06,1,405000000,42930000,5,34,10,0,100,0
1,11/04/16,1,1,2,1,Fast,1.06,2,405000000,42930000,5,70,13,0,100,0
1,11/04/16,1,1,2,3,Fast,3.18,3,405000000,128790000,5,39,17,0,100,0
1,11/04/16,1,1,2,2,Fast,2.12,4,405000000,85860000,5,37,3,0,100,0
1,11/04/16,1,1,2,3,Slow,3.18,5,405000000,128790000,5,33,6,0,100,0
1,11/04/16,1,1,2,2,Slow,2.12,6,405000000,85860000,5,24,12,0,100,0
1,11/04/16,1,1,2,1,Slow,1.06,1,405000000,42930000,55,24,6,0,100,0
1,11/04/16,1,1,2,1,Fast,1.06,2,405000000,42930000,55,20,5,0,100,0
1,11/04/16,1,1,2,3,Fast,3.18,3,405000000,128790000,55,55,34,0,100,0
1,11/04/16,1,1,2,2,Fast,2.12,4,405000000,85860000,55,12,3,0,100,0
1,11/04/16,1,1,2,3,Slow,3.18,5,405000000,128790000,55,27,10,0,100,0
1,11/04/16,1,1,2,2,Slow,2.12,6,405000000,85860000,55,30,21,0,100,0
2,12/04/16,2,1,2,2,Slow,0.9,1,385000000,34650000,5,76,23,2,100,0
2,12/04/16,2,1,2,1,Fast,0.9,2,385000000,34650000,5,65,9,3,100,0
2,12/04/16,2,1,2,3,Fast,2.7,3,385000000,103950000,5,59,14,3,100,0
2,12/04/16,2,1,2,1,Slow,1.8,4,385000000,69300000,5,82,19,2,100,0
2,12/04/16,2,1,2,3,Slow,2.7,5,385000000,103950000,5,100,11,0,100,0
2,12/04/16,2,1,2,2,Fast,1.8,6,385000000,69300000,5,80,21,2,100,0
2,12/04/16,2,1,2,2,Slow,0.9,1,385000000,34650000,55,92,23,3,100,0
2,12/04/16,2,1,2,1,Fast,0.9,2,385000000,34650000,55,80,19,3,100,0
2,12/04/16,2,1,2,3,Fast,2.7,3,385000000,103950000,55,88,32,2,100,0
2,12/04/16,2,1,2,1,Slow,1.8,4,385000000,69300000,55,76,18,1,100,0
2,12/04/16,2,1,2,3,Slow,2.7,5,385000000,103950000,55,68,17,0,100,0
2,12/04/16,2,1,2,2,Fast,1.8,6,385000000,69300000,55,70,39,4,100,0
